3287 廣寰科 35.75 +0.15 36.80 37.15 35.75 36.61 413441 15137074 280 35.75 7 36.10 2 43970483 35.75 39.30 32.20
3288 點晶 24.20 "-0.05 " 24.65 24.80 24.20 24.58 29041 713844 32 24.05 1 24.75 1 15000000 24.20 26.60 21.80
3289 宜特 134.50 +10.50 129.00 136.00 127.00 134.13 4360959 584935056 1935 134.00 52 134.50 31 74341671 134.50 147.50 121.50
3290 東浦 29.35 +0.35 29.45 29.55 29.05 29.35 743826 21831554 508 29.25 2 29.35 3 123104706 29.35 32.25 26.45
3293 鈊象 787.00 +53.00 753.00 794.00 753.00 776.69 3639204 2826528862 12518 786.00 1 787.00 7 281801560 787.00 865.00 709.00
3294 英濟 29.60 +0.20 30.25 30.50 29.60 29.99 1163187 34881964 767 29.60 20 29.70 1 132015919 29.60 32.55 26.65
3297 杭特 26.10 +0.80 26.30 27.00 25.70 26.29 601058 15798957 455 26.05 5 26.10 5 36049445 26.10 28.70 23.50
3303 岱稜 49.60 +4.50 45.90 49.60 45.80 48.54 3987477 193539930 2009 49.60 4048 0.00 0 94090607 49.60 54.50 44.65
3306 鼎天 54.50 "-0.20 " 55.70 56.50 54.10 55.34 996357 55143192 890 54.50 7 54.70 4 50607702 54.50 59.90 49.05
3310 佳穎 94.30 "-0.50 " 93.50 95.50 93.50 94.45 40464 3821966 45 94.30 3 95.10 1 60023766 94.30 103.50 84.90
3313 斐成 20.20 +0.40 20.35 21.10 20.05 20.58 785476 16164310 518 20.20 4 20.25 7 168770776 20.20 22.20 18.20
3317 尼克森 51.20 +0.90 50.90 51.90 50.90 51.51 145852 7512594 238 51.20 1 51.30 2 71051798 51.20 56.30 46.10
3322 建舜電 21.40 +1.90 20.05 21.45 20.05 21.05 3011780 63389254 1276 21.40 6 21.45 17 121572759 21.40 23.50 19.30
3323 加百裕 23.65 +0.30 23.90 23.95 23.45 23.68 236937 5611260 194 23.65 1 23.75 3 88305914 23.65 26.00 21.30
3324 雙鴻 532.00 +22.00 535.00 555.00 532.00 542.16 7045595 3819809949 7937 532.00 24 533.00 6 91485971 532.00 585.00 479.00
3325 旭品 23.85 +0.15 24.00 24.60 23.80 24.15 431981 10432382 354 23.85 20 23.90 2 90168610 23.85 26.20 21.50
3332 幸康 42.00 +0.50 41.50 42.60 41.20 41.94 67040 2811340 19 42.25 1 42.45 2 48104246 42.00 46.20 37.80
3339 泰谷 40.25 +2.50 40.00 40.90 38.55 39.73 3276916 130191717 1881 40.25 24 40.30 21 65767280 40.25 44.25 36.25
3349 寶德 28.35 +1.50 26.80 28.80 26.80 28.50 49451 1409489 40 28.35 9 28.65 1 40071648 28.35 31.15 25.55
3354 律勝 18.65 +0.20 18.70 18.85 18.60 18.74 55886 1047101 112 18.65 1 18.70 2 70112426 18.65 20.50 16.80
3357 臺慶科 131.00 +6.00 128.50 133.50 128.50 131.00 891947 116845376 578 130.50 17 131.00 15 102034881 131.00 144.00 118.00
3360 尚立 14.30 +0.20 14.45 14.60 14.25 14.36 282956 4063511 156 14.30 6 14.35 2 76402244 14.30 15.70 12.90
3362 先進光 212.00 +7.50 210.00 217.50 209.00 213.70 1669877 356845935 1932 212.00 5 212.50 6 142459880 212.00 233.00 191.00
3363 上詮 144.00 "-3.50 " 154.50 155.50 143.00 147.19 6371455 937839142 4942 144.00 28 144.50 6 103640567 144.00 158.00 130.00
3372 典範 18.45 +0.35 18.60 18.70 18.40 18.55 640619 11883077 417 18.40 17 18.50 14 175340000 18.45 20.25 16.65
3373 熱映 22.70 +0.10 22.75 23.00 22.45 22.71 63534 1442869 70 22.50 1 22.70 1 43289801 22.70 24.95 20.45
3374 精材 208.00 +2.00 217.50 221.00 207.00 213.07 19553570 4166309791 16021 208.00 22 208.50 6 271364316 208.00 228.50 187.50
3379 彬台 38.30 "0.00 " 40.90 41.75 38.30 39.90 3315198 132283981 2226 38.25 13 38.35 2 38041748 38.30 42.10 34.50
3388 崇越電 70.80 +1.20 70.00 71.20 70.00 70.58 48529 3425254 54 70.70 2 71.00 1 74062358 70.80 77.80 63.80
3390 旭軟 31.20 +2.80 30.70 31.20 30.70 31.14 852937 26563578 285 31.20 319 0.00 0 68958259 31.20 34.30 28.10
3402 漢科 94.80 +2.80 95.90 97.70 94.50 95.80 513560 49201288 791 94.80 3 95.00 5 73047692 94.80 104.00 85.40
3426 台興 43.80 "-0.50 " 44.25 44.30 43.15 43.82 5124 224535 13 43.45 1 44.00 1 26400000 43.80 48.15 39.45
3430 奇鈦科 58.00 +4.00 54.20 59.40 54.00 58.24 676049 39373579 404 58.00 2 58.10 3 33716085 58.00 63.80 52.20
3434 哲固 28.15 +2.55 27.00 28.15 26.90 27.69 159586 4418252 139 28.15 28 0.00 0 27080000 28.15 30.95 25.35
3438 類比科 70.00 +1.70 69.90 71.20 69.80 70.47 193710 13651207 276 70.00 5 70.20 4 47165815 70.00 77.00 63.00
3441 聯一光 32.75 +0.10 33.20 33.45 32.70 33.00 74533 2459334 112 32.75 6 33.00 2 40039920 32.75 36.00 29.50
3444 利機 91.70 "-0.90 " 95.90 96.20 91.70 94.57 281758 26646221 278 91.70 3 92.10 2 44996877 91.70 100.50 82.60
3455 由田 105.50 +2.50 106.00 108.50 105.50 106.80 520929 55637498 549 105.00 34 105.50 9 59850750 105.50 116.00 95.00
