"1595" "川寶" "38.85" "+0.25" "38.45" "38.85" "38.40" "38.59" "11011" "424969" "13" "38.50" "2" "38.90" "2" "47422634" "38.85" "42.70" "35.00"
"1599" "宏佳騰" "37.50" "+0.10" "37.40" "37.80" "37.05" "37.48" "59528" "2231246" "332" "37.50" "4" "37.55" "1" "74528764" "37.50" "41.25" "33.75"
"1742" "台蠟" "17.60" "+1.40" "16.35" "17.80" "16.35" "17.65" "5577319" "98430935" "2117" "17.60" "11" "17.70" "3" "93559300" "17.60" "19.35" "15.85"
"1777" "生泰" "87.00" "+0.40" "85.80" "87.20" "84.80" "86.44" "126290" "10916969" "159" "87.00" "3" "87.10" "2" "44591713" "87.00" "95.70" "78.30"
"1781" "合世" "14.40" "-0.10 " "13.55" "14.50" "13.55" "13.91" "45153" "627907" "45" "14.25" "4" "14.30" "4" "47407605" "14.40" "15.80" "13.00"
"1784" "訊聯" "65.00" "-1.10 " "66.00" "69.00" "64.30" "66.20" "4236414" "280435677" "2963" "65.00" "17" "65.10" "1" "49626924" "65.00" "71.50" "58.50"
"1785" "光洋科" "35.55" "-0.25 " "35.50" "35.80" "35.35" "35.59" "488967" "17400219" "381" "35.55" "30" "35.60" "1" "596876243" "35.55" "39.10" "32.00"
"1788" "杏昌" "144.00" "-0.50 " "144.50" "144.50" "144.00" "144.43" "9156" "1322404" "99" "144.00" "3" "144.50" "2" "44520971" "144.00" "158.00" "130.00"
"1796" "金穎生技" "146.50" "+6.50" "140.00" "152.00" "139.50" "147.01" "1578916" "232122461" "1391" "146.50" "9" "147.50" "3" "41459793" "146.50" "161.00" "132.00"
"1799" "易威" "20.00" "+0.20" "19.80" "20.00" "19.80" "19.86" "17999" "357550" "14" "19.90" "4" "20.20" "1" "114365775" "20.00" "22.00" "18.00"
"1813" "寶利徠" "22.55" "+0.10" "22.35" "22.55" "22.35" "22.38" "36000" "805650" "13" "22.30" "16" "22.55" "5" "46635510" "22.55" "24.80" "20.30"
"1815" "富喬" "11.75" "+0.10" "11.65" "11.75" "11.60" "11.68" "506635" "5918343" "259" "11.70" "42" "11.75" "11" "441367438" "11.75" "12.90" "10.60"
"2035" "唐榮" "31.15" "+0.20" "31.05" "31.20" "31.00" "31.13" "21002" "653760" "20" "31.05" "1" "31.15" "1" "350000000" "31.15" "34.25" "28.05"
"2061" "風青" "21.10" "+0.30" "20.90" "22.25" "20.50" "21.37" "304245" "6502074" "178" "21.10" "2" "21.20" "3" "46643174" "21.10" "23.20" "19.00"
"2063" "世鎧" "44.60" "+0.20" "44.75" "44.75" "44.45" "44.62" "20463" "912974" "28" "44.55" "1" "44.65" "16" "49599530" "44.60" "49.05" "40.15"
"2064" "晉椿" "17.45" "-0.05 " "17.45" "17.45" "17.45" "17.45" "1000" "17450" "1" "17.40" "1" "17.45" "1" "69630000" "17.45" "19.15" "15.75"
"2065" "世豐" "58.60" "+0.30" "58.10" "58.60" "58.00" "58.32" "89829" "5239176" "84" "58.60" "1" "58.70" "1" "51404620" "58.60" "64.40" "52.80"
"2066" "世德" "90.30" "+4.50" "88.20" "91.10" "87.60" "89.48" "665549" "59555921" "558" "90.20" "3" "90.30" "8" "40893185" "90.30" "99.30" "81.30"
"2067" "嘉鋼" "12.20" "+0.10" "12.10" "12.20" "12.10" "12.18" "19000" "231450" "9" "12.20" "1" "12.30" "11" "45138177" "12.20" "13.40" "11.00"
"2070" "精湛" "31.70" "-0.25 " "31.60" "31.90" "31.50" "31.73" "41000" "1301000" "18" "31.60" "1" "31.70" "1" "35782800" "31.70" "34.85" "28.55"
"2221" "大甲" "40.20" "+0.15" "40.05" "40.20" "39.80" "39.99" "65071" "2602182" "71" "40.20" "2" "40.25" "2" "42325000" "40.20" "44.20" "36.20"
"2230" "泰茂" "80.30" "+2.20" "78.50" "80.90" "77.00" "78.88" "883014" "69652456" "706" "80.30" "1" "80.40" "2" "39913194" "80.30" "88.30" "72.30"
"2235" "謚源" "44.35" "+0.60" "43.80" "44.35" "43.80" "43.95" "3460" "152070" "14" "44.35" "4" "44.90" "1" "35878000" "44.35" "48.75" "39.95"
"2596" "綠意" "22.00" "+0.10" "21.80" "22.05" "21.80" "21.94" "57202" "1254890" "47" "22.00" "1" "22.05" "4" "100000000" "22.00" "24.20" "19.80"
"2640" "大車隊" "132.00" "+1.00" "131.00" "136.00" "125.00" "130.19" "515957" "67171390" "444" "132.00" "7" "132.50" "7" "59264956" "132.00" "145.00" "119.00"
"2641" "正德" "18.15" "-0.05 " "18.20" "18.20" "18.00" "18.09" "1034925" "18721126" "676" "18.15" "14" "18.20" "21" "239698286" "18.15" "19.95" "16.35"
"2643" "捷迅" "70.40" "+0.80" "69.60" "70.50" "69.60" "70.23" "32199" "2261309" "32" "70.30" "2" "70.40" "3" "30000000" "70.40" "77.40" "63.40"
"2718" "晶悅" "47.85" "-0.05 " "48.40" "48.40" "47.00" "47.69" "50020" "2385596" "29" "47.50" "1" "47.85" "5" "84576000" "47.85" "52.60" "43.10"
