"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="057787" "聯發科元大18購08" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1429000" "0" "0" "0" "1696000" "267000" "1429000" "1429000"
="059070" "盛群中信17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1423000" "0" "0" "0" "1536000" "113000" "1423000" "1423000"
"4960" "誠美材          " "2521000" "1096000" "1425000" "0" "0" "0" "0" "0" "0" "-3000" "0" "3000" "-3000" "0" "0" "0" "1422000"
="057790" "興富發元大16購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1405000" "0" "0" "0" "1457000" "52000" "1405000" "1405000"
="03072P" "臺股指群益15售25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1403000" "0" "0" "0" "1403000" "0" "1403000" "1403000"
="049514" "滬深2X凱基15購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1402000" "0" "0" "0" "1402000" "0" "1402000" "1402000"
="061645" "長榮群益18購14  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1398000" "0" "0" "0" "1400000" "2000" "1398000" "1398000"
="00642U" "期元大S&P石油   " "16000" "2072000" "-2056000" "0" "0" "0" "0" "0" "0" "3443389" "202000" "0" "202000" "6269212" "3027823" "3241389" "1387389"
="052737" "富采元大15購05  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1386000" "0" "0" "0" "1609000" "223000" "1386000" "1386000"
="03061P" "臺股指凱基16售13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1356000" "0" "0" "0" "1427000" "71000" "1356000" "1356000"
"2633" "台灣高鐵        " "7032000" "5625430" "1406570" "0" "0" "0" "0" "0" "0" "-57080" "2000" "59080" "-57080" "0" "0" "0" "1349490"
